Order Date,Category,Sub-Category,Product Name,Region,Sales
2024-01-15,Office Supplies,Binders,Binder clips,North,125.50
2024-01-20,Technology,Phones,Wireless mouse,East,89.99
2024-02-01,Furniture,Chairs,Office chair,South,450.00
2024-02-10,Office Supplies,Paper,Notebooks,West,35.20
2024-03-05,Technology,Phones,Desk phone,North,199.00
2024-03-15,Furniture,Tables,Desk,East,520.00
2024-04-01,Office Supplies,Binders,Binder clips,South,98.00
2024-04-15,Technology,Phones,Wireless mouse,West,95.50
2024-05-01,Furniture,Chairs,Office chair,North,420.00
2024-05-20,Office Supplies,Paper,Notebooks,East,42.00
2024-06-01,Technology,Phones,Desk phone,South,210.00
2024-06-15,Furniture,Tables,Desk,West,480.00
